,Unnamed: 0,id,domain,type,url,content,scraped_at,inserted_at,updated_at,title,authors,keywords,meta_keywords,meta_description,tags,summary
0,0,141,awm.com,unreliable,http://awm.com/church-congregation-brings-gift-to-waitresses-working-on-christmas-eve-has-them-crying-video/,sometimes power christmas make wonderful thing you need believ holy trinity believ power good others the simple act give without lost many u day money hold u give others need one congregation ohio move action power church christmas eve the pastor grand lake united methodist church celina ohio gave importance message jesus for many religious people messag jesus help others make sure people get help need life little bit the really generosity look like life jesu long time generously time would act look like time that sermon the potency lost congregation move take action after end congregation decid take offering a passed room everyone could christma eve word ring ear what offer member congregation waffl house visit ladi work shift what choice holy day everyone family the lady work waffle house clearly family they choice work holy day bill the congregation understood made lady help they donat entire offering split amongst lady waffl house in amounted NUM split amongst staff what beautiful moment what perfect preacher sermon do good deed like christmas really eas felt lady work waffle house sure could see family got little good people community perhaps part event congregation anything return it simple act generosity people understood pain felt another sought pain it volum church daily live this simple act entire community together empathy special day year,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,"Church Congregation Brings Gift to Waitresses Working on Christmas Eve, Has Them Crying (video)",Ruth Harris,,[''],,,
1,1,256,beforeitsnews.com,fake,http://beforeitsnews.com/awakening-start-here/2018/01/awakening-of-12-strands-of-dna-reconnecting-with-you-movie-10623.html,awakening of NUM strand dna reconnect you movie reader fact add two cent headline bitcoin blockchain search exceed trump blockchain stock are next january NUM NUM URL a mile johnston give update case strange synchronicity goodness hidden test trial like follow whiterabbit rabbit hole type exercise in research NUM strand dna across article particular strange synchronicity written NUM year same topic http URL v_NUMzeNUMmrsNUMbq http URL vnumnkcdiicnumji what NUM strand dna why war against dna trailer awaken NUM strand the full video paid video vimeo awakening of NUM strand reconnect you url awaken of NUM strand reconnect you sandra vimeo we watch full video base strange synchronicity within use discernment always necessary end time http URL,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,AWAKENING OF 12 STRANDS of DNA – “Reconnecting with You” Movie,Zurich Times,,[''],,,
2,2,700,cnnnext.com,unreliable,http://www.cnnnext.com/video/18526/never-hike-alone-a-friday-the-13th-fan-film-full-movie-/,never hike alone a friday DATE fan film usa NUM NUM min a fan tribute friday DATE never hike alone follow adventure never hike alone a friday DATE fan film usa NUM NUM min a fan tribute friday DATE never hike alone follow adventure blogger kyle mcleod andrew leighty uncovers lost remains camp crystal lake solo trip ignor campfire childhood kyle s search deadly make mistake path camp blood mass murderer jason voorhees strand forest jason heel kyle must surviv survive night otherwise ll another lost victim camp direct by vincente disanti screenplay by vincente disanti nathan mcleod base on character creat by sean cunningham victor miller ron kurtz star andrew leighty kyle mcleod vincente disanti jason voorhees execut producer barri jay stitch carolyn gair sarah disanti producer kyle klein daniel evans matthew barrett coproducers steven squillant christopher thellas alexander thellas associate producer codi cameron christian ascencio lydia ascencio lynn hobson rene riva mike whelan director of photography christopher thellas jd martz production designer brittany porter special make up effect kelsey berk wardrobe stephen boydmoral stunt jessica bennett bryan forrest jason voorhees donni nichols kyle mcleod film edit by lawrence gan sarah disanti unit still photographi ashly covington music by ryan perezdaple run like hell written vincente disanti jake gonsalves lenni machado perform gonsalves machado record elm street studio new bedford ma NUM appear courtesy damn enchilada another soul written perform trevor vaughan appear finally salao mix tape record the colosseum new bedford ma NUM appear courtesy trevor vaughan mass glory record additional crew visit URL URL disclaimer this production is the effort of womp stomp film llc and it volunteer associate never hike alone is a product of fan fiction and in no way affili with or a representative of the viacomparamount film company warner brother new line cinema horror inc the friday the DATE film property or it character this project wa creat by fan for fan to show appreciation for the friday the DATE franchise a of friday the DATE october NUM this project will be made free and available to all who care to watch it no profit shall be made off it view thank you to any and all who assist in bring the project to life womp stomp film is forever grateful for your time and dedication to the project thank you for watch,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Never Hike Alone - A Friday the 13th Fan Film (Full Movie),,,[''],"Never Hike Alone: A Friday the 13th Fan Film     USA | 2017 | 54 minA fan tribute to Friday the 13th, Never Hike Alone follows an adventure blogger, Kyle McLeod",,
3,3,768,awm.com,unreliable,http://awm.com/elusive-alien-of-the-sea-caught-by-scientist-for-one-of-the-first-times-ever-video/,when caught scientist blunder answer this unique feature and extreme live extend time this shark unique trait jaw telescop fashion mouth if ever hit fiction movie alien monster manifest earth this stalk prey lash telescop teeth snatch fish swallow one bite it deadly deep sea besides telescop teeth dark discov NUM in three since first found exotic found but routine donghe township taiwan country fishery research institute found five deepsea shark the team horrifi feature needleshap teeth like snakelike fang this origin viper name that right this beast viper shark and tell name ferocious prey although researcher hand animal little known but researcher think creature swim NUMNUM meter surfac ocean day NUM meter night could temperatur something light the last five specimen depth NUM meter surfac sea four already dead but live immediately cool seawater but could handl change habitat it perish day later while viper shark like alien monster movie feed human their main source bony fish one favorite item lanternfish these creature might toward glowinthedark body and swim close enough lash extendable jaw fish devours whole the first specimen viper found shikoku island japan NUM bottomtrawler seiryomaru first haul creature surfac sea because fish discovery time scientific name seiryomaru captain hiromichi kabeya the shark scientific name trigonognathus kabeyai although fish known scientist classifi shark they found deep part pacific ocean how would came end fishing line would think nightmare,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Elusive ‘Alien Of The Sea ‘ Caught By Scientist For One Of The First Times Ever (video),Alexander Smith,,[''],,,
4,4,791,bipartisanreport.com,clickbait,http://bipartisanreport.com/2018/01/21/trumps-genius-poll-is-complete-the-results-have-americans-bursting-with-laughter/,donald trump ability ability creat convince american true the president believ lie a new show country deep trouble the new abc newswashington post came president physician gave physical mental exam the doctor gave trump bill health ad inch height claim serve seven year this able american opinion new came indicating people trump question stability ability hold office in addition new gave time trump tell stable genius interview he said actually throughout life two asset mental stability like smart the abcwashington post discov NUM percent people interview believ president genius that full NUM percent saw lie then question trump mental stability the nearly divide throughout nation when president stable NUM percent interview said NUM percent believ stable the abc newswashington post taken january NUM NUM NUM the sample NUM adult interview landline phone english spanish the margin NUM percentage point featur image via getty imagesdrew angerer,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Trump’s Genius Poll Is Complete & The Results Have Americans Bursting With Laughter,Gloria Christie,,[''],,,
5,5,899,blackagendareport.com,unreliable,https://blackagendareport.com/articlelist/Media%20and%20Culture,republican democrat alike willing coffer bezos right people damn,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Black Agenda Report,"Margaret Kimberley, Bar Editor, Senior Columnist, Glen Ford, Bar Executive Editor, Nellie Bailey, Kyle Fraser, Black Agenda Radio Producer, Nellie Bailiey",,[''],,,
6,6,1058,awarenessact.com,conspiracy,http://awarenessact.com/tag/waking-up-in-the-morgue/,could wake morgu i one life a NUMyearold gonzalo montoya jimenez unresponsive cell morning ro,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,waking up in the morgue – Awareness Act,Gerald Sinclair,,[''],,,
7,7,1376,beforeitsnews.com,fake,http://beforeitsnews.com/home/featuredlist/v2_top_citizen_journalist.html,citizen journalist URL q several post last NUM hour bull eye accord q info could start second american revolution q begin information elite s sex,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Citizen Journalist,,,[''],,,
8,8,1411,beforeitsnews.com,fake,http://beforeitsnews.com/economy/2018/01/usa-dollar-tanks-on-mnuchin-statement-that-he-wants-a-lower-dollar-value-2931673.html,usa dollar tank on mnuchin statement that he want a lower dollar value headline bitcoin blockchain search exceed trump blockchain stock are next harvey organ harvey organ blog usa index break NUM and end at URL NUM yr bond note at URL gold rise URL to URL rise NUM cent to URL and break the huge URL resistancemonstrous issue in gold efps NUMhuge silver efp issuance of NUM contractshuge URL tonne of gold ad into the gldnothing ad into the slvhuge number of swamp story for you tonight gold URL up URL silver URL up NUM cent close access price gold URL silver URL shanghai gold fix first fix NUM NUM pm est NUM shanghai local time second fix NUM am est NUM shanghai local time shanghai first gold fix URL dollar per oz ny price of gold at exact same time URL premium first fix URL xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx second shanghai gold fix URL ny gold price at the exact same time URL premium shanghai NUMnd fixny URL shanghai reject ny london pricing of gold xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx london first gold fix NUM est URL ny pricing at the exact same time URL london second gold fix NUM am URL ny pricing at the exact same time URL for comex gold january number of notice file today for january contract NUM notice s for NUM oz total notice so far NUM for NUM oz URL tonne for silver january NUM notice s file today forNUM oz total number notice file far month NUM NUM oz xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bitcoin bid NUMoffer NUM down NUM morning bitcoin bid NUMoffer NUM up NUM closingNUM pm end let look data today xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx in silver total open interest fell by a tiny NUM contract NUM fall to NUM with yesterday s NUM cent loss in silver pricing we thus minimal comex liquidation however we were again notifi that we had another huge size number of comex longs transfer their contract to london through the efp route NUM efp s for march and zero for other month and thus total issuance of NUM contract however the movement across to london is not a severe a in gold a there seem to be major player willing to take on the bank at the comex still with the transfer of NUM contract what the cme is state is that there is no silver or gold to be deliv upon at the comex a they must export their obligation to london also keep in mind that there can be a delay of NUM hr in the issuing of efp s accumulation for efp ssilver start from first day noticefor month of january NUM contract for NUM trading day total NUM contract or URL million oz average per day NUM contract or URL million ozday to give you an idea a to the huge supply this month in silver so far this month URL million paper oz have morph over to london this repres around URL of annual global production result a tiny sized loss in oi comex despite the NUM cent loss in silver price which usually indic another failed banker shortcov we also had a huge size efp issuance of NUM contract which exit out of the silver comex and transfer their oi to london a forward speculator continu their interest in attack the silver comex for physical silver from the cme data NUM efp s were issu for today for a deliverable forward contract over in london with a fiat bonus we really gain NUM oi contract ie NUM open interest contract london efp together with a decrease of NUM oi comex contract and all of this happen with the fall in price of silver of NUM cent and a closing price of URL with respect to yesterday s trading yet we still have a good amount of silver standing at the comex in ounce at the comex oi still under NUM billion oz ie URL billion to be exact NUM annual global production ex russia ex china for the new front january month they file NUM notice s for NUM oz of silver in gold open interest surprisingly rose by a considerable NUM contract up toNUM with the good sized rise in price of gold with yesterday s trading URL in another huge development we receiv the total number of gold efp s issu for wednesday and it total a humongous sized NUM contract of which february saw NUM contract issu and april saw the issuance of NUM contract the new oi gold rest NUM also rememb that there can be a delay in the issuance of efp s the banker remov long position of comex gold immediately then they orchestr their private efp deal with the longs and that could take an additional NUM hr so we generally do not get a match with respect to depart comex longs and new efp long transfer demand for gold intensifies greatly a we continu to wit a huge number of efp transfer together with the massive increase in gold comex oi together with the total amount of gold ounce stand for january comex even though the banker issu these monstrous efp the obligation still rest with the banker to suppli metal but it transfer the risk to a london banker obligation and not a new york comex obligation longs receiv a fiat bonus together with a long london forward thus by these action the banker at the comex have just state that they have no appreciable metal this is a massive fraud they can not suppli any metal to our comex longs but they are quite willing to suppli massive non back gold and silver paper know that they have no metal to satisfi our longs london is now severely backward in both gold and silver big rise in both gofo and sifo and we are wit delay in actual delivery in essence today we have a huge gain of NUM contract NUM oi contract increas at the comex and a good size NUM oi contract which navig over to london expect huge number of efp s to be issu a we approach first day notice in the gold feb comex contract wednesday jan URL yesterday we had NUM efp s issu accumulation of efp s gold exchange for physical for the month of january start with first day notice NUM contract or URL million oz or URL tonne NUM trading day and thus averag NUM efp contract per trading day or NUM ozday to give you an idea a to the huge size of these efp transfer so far this month in NUM trading day in tonne NUM tonne total annual gold production NUM throughout the world ex china ex russia NUM tonne thus efp transfer repres NUMNUM tonne URL of global annual production so far in january alone result a shockingly strong sized increase in oi at the comex with the fair sized rise in price in gold trading on yesterday URL we had another gigantic sized number of comex long transfer to london through the efp route NUM there obviously doe not seem to be much physical gold at the comex and yet we also observ a huge delivery month for the month of december i guess it explain the huge issuance of efp sthere is hardly any gold present at the gold comex for delivery purpose if you take into account the NUM efp contract issu we had a net gain in open interest of NUM contract on the two exchange NUM contract move to london and NUM contract increas at the comex tonne gain total oi equat URL tonne NUM notice file upon NUM oz gold xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx with respect two criminal fund gld slv gld with gold up URL change gold inventory glda deposit of URL tonne inventory rest tonight URL tonne slv a big change in silver inventory at the slva huge withdrawal of URL million oz from the slv inventory inventory rest at URL million oz end first tonight NUM today open interest fell by a tiny NUM contract NUM down to NUM and a little further to the new comex record set on fridayapril NUMNUM at NUM with the fall in price of silver to the tune of NUM cent with respect to yesterday s trade our banker use their emergency procedure to issu another good NUM private efp s for march we do not get a look at these contract a it is private but the cftc doe audit them and NUM efp s for all other month efp s give our comex long a fiat bonus plus a deliverable product over in london we had zero comex silver comex liquidation if we take the oi loss at the comex of NUM contractsto the NUM oi transfer to london through efp s we obtain a big gain of NUM open interest contract we still have a good amount of silver ounce that are stand for metal in january see below the net gain today in oz on the two exchange url million oz result a small sized decrease in silver oi at the comex despite the tiny fall of NUM cent in price with respect to yesterday s trading but we also had another strong NUM efp s issu transfer comex longs over to london together with the good sized amount of silver ounce stand for january demand for physical silver intensifies a we wit major bank short cover accompani by increase in gofo and sifo rate indic scarcity report harvey NUMa the shanghai london gold fix report harvey NUM b goldsilver trading europe goldcor mark o byrnezerohedge ny bloomberg NUM asian affair late tuesday nightwednesday morning shanghai close up URL point URL hang sang close up URL URL the nikkei close down URL point or URL australia close up URL chinese yuan onshore close well up URL up URL dollar per wti URL brent stock europ open all red onshore yuan close up against the dollar at URL offshore yuan close up against the onshore yuan at URL yuan much stronger against the dollaroff shore much stronger to the dollar the dollar index is much weaker against all major currency china is very happy today good marketsweaker usa dollar read more URL source http URL,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Usa Dollar Tanks On Mnuchin Statement That He Wants A Lower Dollar Value,,,[''],,,
9,9,1422,canadafreepress.com,conspiracy,http://canadafreepress.com/article/its-not-really-president-trump-who-needs-his-mouth-washed-out-with-soap,subscribe canada free press free neither rev rodriguez pope francis president trump address crowd satellit it not really president trump who need his mouth wash out with soap throw socal men cloth it president donald trump need mouth wash soap made use vulgar word white house meeting immigration there around word cuss word particularly prais abortion advoc member president trump evangelical advisory council jump day publicly nancy pelosi daca redstate jan NUM NUM you always lead your immigrant dreamer second none so america better prophetic leadership matter URL rodriguez spoke trump inauguration last year pelosi press conference thursday prophetic really pelosi course one advoc abortion ever elect come second former president barack obama partial birth abortion how rev rodriguez rais president donald trump prayer inauguration discomfit president use expression use rev rodriguez member unofficial evangelical advisory board national hispanic christian leadership conference note every single creat god spoke welcom people nigeria norway albeit vet process later day said in addition great deference i believ comment best wrong inappropriate hurtful why because god look nation he see his child yahoo jan NUM NUM it without say creator see among his child million kill mother womb sadly pastor one regard president alleg use word preachworthy advocation abortion isn hypocritical sanctimonious vatican newspaper l osservatore romano would tri washhismouthwithsoap latest alleg president donald trump we know president trump alleg use word tattlet internet world cathol u senator dick durbin went medium report vulgarity repeatedly use white house meeting immigration tattletale dicky durbin continu the newspaper l osservatore romanothe vatican flagshipgave trump comment immigration debate united state front attention comment immediately controversy indignation never trump denies use term mercifully newspaper print vulgar word automatically democrat fullon faux rage no none but vulgar rile people some word use honor abortion advocate asif moreoffensive faithful some prolife catholic must word reading twitter abortion advocate lilianne ploumen former minister foreign trade development cooperation netherlands recently pope francis title commander pontifical equestrian order st gregory great this one tweet troubl true the lepanto institute able december NUM NUM dutch radio broadcast ploumen receiv honor in brief clip broadcast ploumen display say receiv pope lepanto institute URL NUM to liliann ploumen proabortion extrem come scandalous activism in january last year u president donald trump reinstat mexico city policy ploumen new ngo call she decid provide mass fund organization would longer fund u government the mexico city policy automatically deni u international organization promot abortion refer mexico city policy global gag rule ploumen intention she decid continue support exist program organization united nation population fund unpfa international plan parenthood federation marie stope international she said these successful program direct support condom make sure accompanied birth making sure abortion choice the lepanto institute continu ploumen profile but ploumen anticatholic activity abortion in september NUM ploumen unit nation lgbti core group a first event ploumen note lgbti human right in remark said we complac today NUM country still criminalizedstigma lgbt people continu world in NUM ploumen end foreign country uganda pass ban samesex marriage in february NUM ploumen call lgbt activist upon mass st john baptist cathedral pink word jesu one the reason she prolgbt activist protest church moral regard homosexuality continu we know pope francis profile president donald trump in NUM question thencandidate trump view immigration intention build along u mexico francis said man view christian reuters jan NUM NUM trump grew presbyterian family back say disgraceful pope question faith action much cuss word thousand part NUM march life today neither rev rodriguez pope francis president trump address crowd satellite copyright canada free press r feed judi mcleod judi mcleod awardwin journalist NUM year experience print medium a former toronto sun columnist also kingston whig standard her appeared rush limbaugh URL drudg report URL older judi mcleod please comment policy ban a owned website reserve remov ban URL contain spam advertising vulgarity violence racism antisemitism personal attack may result ban follow instruction regist,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,It’s Not Really President Trump Who Needs His Mouth Washed Out With Soap,"Judi Mcleod, Because Without America, There Is No Free World.",,[''],,,
